cluster,control_cell,n_cells,frac_within_cluster
0,False,6198,0.9299324831207801
0,True,467,0.0700675168792198
1,False,5995,0.9296014886028842
1,True,454,0.07039851139711584
2,False,4771,0.9260481366459627
2,True,381,0.07395186335403726
3,False,4071,0.9347876004592423
3,True,284,0.06521239954075775
4,False,3891,0.9288613034137025
4,True,298,0.07113869658629744
5,False,3700,0.9247688077980505
5,True,301,0.07523119220194951
6,False,1683,0.9365609348914858
6,True,114,0.06343906510851419
7,False,431,0.9410480349344978
7,True,27,0.05895196506550218
8,False,232,0.9098039215686274
8,True,23,0.09019607843137255
9,False,35,0.9459459459459459
9,True,2,0.05405405405405406
