names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,cluster
Mxd4,64.6121,1.4406799,0.0,0.0,0.9303825956489122,0.6744464840969543,0
Ube2h,49.42388,0.70113885,0.0,0.0,0.9461365341335334,0.9194170756378076,0
Cat,43.482193,0.5387626,0.0,0.0,0.9905476369092273,0.9879369122991046,0
Pdcd4,43.278202,1.042625,0.0,0.0,0.7837959489872468,0.5346345483834714,0
Sox4,43.131023,0.78077507,0.0,0.0,0.9279819954988747,0.8619862885400666,0
Tpt1,39.72368,0.2500738,0.0,0.0,0.999549887471868,1.0,0
Gabarap,39.486935,0.39989007,0.0,0.0,0.9854463615903976,0.9873000412093058,0
Vamp8,38.40537,0.3363567,0.0,0.0,0.9945986496624156,0.9970778855879818,0
Ctsd,38.245182,0.5703617,0.0,0.0,0.92768192048012,0.9118495485707864,0
Tes,37.922512,0.41063154,0.0,0.0,0.9722430607651913,0.9772224927883715,0
Pnrc1,37.538506,0.5464623,2.169696217224786e-308,1.44671702316352e-306,0.954688672168042,0.9336155546397932,0
Gsn,37.291264,0.6720263,2.2738203524340854e-304,1.4799233488367922e-302,0.9062265566391597,0.8745363953096318,0
Cald1,36.6757,0.28505155,1.7820865166267187e-294,1.1253109229162757e-292,0.9924981245311327,0.9965908665193122,0
Map1lc3b,36.371555,0.40158942,1.1993608566343636e-289,7.425912836369257e-288,0.9810952738184546,0.9825047765331735,0
Cryab,36.168144,0.5260604,1.9295727012936777e-286,1.1869984326990462e-284,0.964291072768192,0.9656089611508635,0
Ccnd2,35.691814,0.78029484,5.295576055888459e-279,3.1856982771543507e-277,0.7849962490622656,0.7055033154759675,0
Glis3,35.660065,0.46328312,1.6452451435806135e-278,9.866297134617076e-277,0.9738934733683421,0.9624246057018694,0
Cfap36,35.55983,0.6199094,5.856046707612145e-277,3.478966065861795e-275,0.8582145536384096,0.8169557561907617,0
Washc2,34.645596,0.6062271,5.2041895492032635e-263,2.918938079509007e-261,0.8816204051012754,0.8465515303637657,0
Gpx1,33.745014,0.28911713,1.265124622506231e-249,6.873483347918468e-248,0.9872468117029257,0.991683212827333,0
H1f5,106.93091,3.9982896,0.0,0.0,0.9840285315552799,0.4897617897357761,1
H2ac8,105.91502,3.6094213,0.0,0.0,0.9782912079392154,0.47192389163476905,1
H1f4,105.228714,2.7713585,0.0,0.0,0.9995348115986975,0.9640269054963023,1
H2ac24,97.84479,3.084069,0.0,0.0,0.9503799038610637,0.3842208926381508,1
H1f1,86.73915,3.3221006,0.0,0.0,0.8209024654985269,0.19179456687353674,1
Top2a,83.35945,2.447456,0.0,0.0,0.9924019227787254,0.5557620127095024,1
Cdk1,80.39066,2.1768682,0.0,0.0,0.9956582415878431,0.6404177041138652,1
Pclaf,80.32182,1.8777739,0.0,0.0,0.9606140486897193,0.5206808131108551,1
Incenp,79.76878,1.866881,0.0,0.0,0.9708481935183749,0.5371437065665763,1
Foxm1,78.8929,1.9405438,0.0,0.0,0.972708947123585,0.5077854992753353,1
Dnmt1,78.50378,1.4464253,0.0,0.0,0.9883702899674368,0.7773607343268052,1
Tubb5,76.347435,1.2058964,0.0,0.0,0.9986044347960924,0.9481586086439481,1
Pbk,75.93595,1.9931555,0.0,0.0,0.8926965420995503,0.35616336541677507,1
Rrm2,75.8828,1.6854057,0.0,0.0,0.9970538067917507,0.793712140919395,1
Dhfr,75.13322,1.6310706,0.0,0.0,0.9573577298806016,0.5887621241963655,1
Esco2,74.310616,2.4877088,0.0,0.0,0.7684912389517755,0.2133858560332974,1
Atad2,74.06286,1.7287824,0.0,0.0,0.9313071794076601,0.49522464602920957,1
Fen1,73.45856,1.4983348,0.0,0.0,0.9784462707396495,0.7055631944702516,1
Tcf19,73.39456,1.8917049,0.0,0.0,0.8996743681190882,0.45575829648073135,1
Nusap1,72.7624,1.97618,0.0,0.0,0.9204527833772678,0.3085584748597124,1
Ube2c,107.488914,3.9507108,0.0,0.0,0.9908773291925466,0.3624760689215061,2
Tuba1c,106.076164,2.1480646,0.0,0.0,0.998641304347826,0.9545132241367085,2
Cenpf,105.08342,3.6611521,0.0,0.0,0.9829192546583851,0.3321279160462313,2
Plk1,100.289,3.1454003,0.0,0.0,0.9784549689440993,0.36719137772105226,2
Nusap1,99.326,3.3655431,0.0,0.0,0.9792313664596274,0.3259590158122385,2
Ccna2,97.89164,2.7190084,0.0,0.0,0.9953416149068323,0.5496702829185279,2
Cdk1,97.813255,2.7511842,0.0,0.0,0.9935947204968945,0.6571296887187124,2
Prc1,97.71814,2.9928687,0.0,0.0,0.9741847826086957,0.4115081897468624,2
Prr11,97.69969,3.034208,0.0,0.0,0.9755434782608695,0.3381195490321208,2
Nek2,97.641846,2.8522077,0.0,0.0,0.9864130434782609,0.4473161738637169,2
Top2a,97.10024,2.9537613,0.0,0.0,0.9930124223602484,0.5757285683897043,2
Hmmr,96.69771,2.7867405,0.0,0.0,0.9930124223602484,0.48642132879529176,2
Tpx2,95.49561,2.593119,0.0,0.0,0.9949534161490683,0.5294618166347586,2
Kif23,95.25117,2.4284675,0.0,0.0,0.9926242236024845,0.6178118130894136,2
Kif20b,94.15103,2.587928,0.0,0.0,0.9875776397515528,0.45837765014535914,2
Ect2,93.26297,2.347613,0.0,0.0,0.9949534161490683,0.599234205488194,2
Cdca3,93.07631,2.408926,0.0,0.0,0.9988354037267081,0.6408565553428348,2
Tubb4b,92.7835,1.9456995,0.0,0.0,0.9959239130434783,0.8175920017017656,2
Cep55,91.406944,2.4320793,0.0,0.0,0.9910714285714286,0.5070197830248884,2
Sgo2a,91.34745,2.6652489,0.0,0.0,0.9675854037267081,0.3848826490817557,2
Pik3ap1,83.00002,2.4125438,0.0,0.0,0.9786452353616533,0.7236837568527393,3
Gsta3,82.04323,2.3199892,0.0,0.0,0.9882893226176809,0.8110540288935627,3
Pdcd4,81.36155,2.4616268,0.0,0.0,0.9448909299655568,0.5302899700031031,3
Selenop,81.34552,1.5111209,0.0,0.0,1.0,0.994207495776299,3
Ttr,80.29003,3.0252614,0.0,0.0,0.9609644087256027,0.6506913077957452,3
Mxd4,77.408424,2.0360048,0.0,0.0,0.9772675086107921,0.6877909181808778,3
Tmem176b,75.102905,0.9706093,0.0,0.0,0.9997703788748565,0.9965520808192256,3
Cfb,74.99103,1.9190437,0.0,0.0,0.9632606199770379,0.7958142261145399,3
Ndfip1,74.56548,1.649625,0.0,0.0,0.9832376578645236,0.9176292107712996,3
Tpt1,74.08192,0.6614893,0.0,0.0,1.0,0.9998965624245768,3
Pnrc1,71.85138,1.2871768,0.0,0.0,0.991044776119403,0.9298348446712409,3
Acot1,71.83519,2.096361,0.0,0.0,0.914121699196326,0.6212115988001241,3
Dhrs3,71.70359,1.7352148,0.0,0.0,0.9641791044776119,0.7612660759231804,3
Cp,70.848854,1.3034744,0.0,0.0,0.9938002296211251,0.9557631969106644,3
Bicc1,69.974525,1.0636497,0.0,0.0,0.9942594718714122,0.959866220735786,3
C3,69.74908,2.7010453,0.0,0.0,0.879219288174512,0.6043512740061373,3
Sox4,69.60569,1.5091405,0.0,0.0,0.9786452353616533,0.8596352101506741,3
Ivns1abp,69.320946,1.2347578,0.0,0.0,0.9940298507462687,0.977105816639658,3
Grcc10,68.508835,1.2509943,0.0,0.0,0.9866819747416762,0.9157673344136813,3
Cat,68.02196,1.0819497,0.0,0.0,0.9954075774971297,0.9874150949901734,3
Ccnb2,72.84702,2.098838,0.0,0.0,0.9806636428741943,0.566320408653022,4
Pttg1,67.94814,2.0220668,0.0,0.0,0.9615660062067319,0.5511330522129658,4
Cdca3,59.93537,1.7599514,0.0,0.0,0.9854380520410599,0.6545990606465768,4
Acsl5,59.31659,0.7686558,0.0,0.0,0.9990451181666269,0.9842298330419281,4
Cip2a,55.90118,1.4609653,0.0,0.0,0.9520171878730007,0.6287154170523501,4
H2bc4,54.18363,1.5837266,0.0,0.0,0.9415134877058964,0.6759916349549179,4
Knstrn,53.04432,1.4708155,0.0,0.0,0.924086894246837,0.6035859988343789,4
Kif20a,51.508995,1.5847158,0.0,0.0,0.8701360706612556,0.4815043367959135,4
Lmna,51.14184,0.6864046,0.0,0.0,0.9978515158749105,0.982549967431177,4
Dynll1,50.30956,0.56969637,0.0,0.0,0.9980902363332538,0.9894408447324214,4
Hmmr,48.69641,1.5212606,0.0,0.0,0.9095249462878968,0.5151359319825842,4
Emp1,48.422997,1.239462,0.0,0.0,0.9503461446645978,0.7555624121498852,4
H2az1,47.624187,0.8610023,0.0,0.0,0.9968966340415374,0.9400733655593266,4
Krt20,47.38925,0.89817476,0.0,0.0,0.992360945333015,0.9309883780726114,4
Cep89,43.547905,1.303442,0.0,0.0,0.7775125328240631,0.4935719428160033,4
Nek2,42.14953,1.2993705,0.0,0.0,0.825256624492719,0.488258082210566,4
Tacc3,40.290813,1.1172172,0.0,0.0,0.8920983528288374,0.5712571565703315,4
Cep55,39.708904,1.1919088,0.0,0.0,0.8677488660778229,0.5407110288319792,4
Rdx,39.49278,0.5421222,0.0,0.0,0.9964191931248508,0.9772703897973877,4
Hnrnpa2b1,39.396637,0.35265258,0.0,0.0,0.9990451181666269,0.9958174774589461,4
