names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
Phactr4,3.4680145,0.1397919,0.0005243190510877896,1.0,0.601606088947657
Tm9sf2,3.443228,0.07830297,0.0005748144334529745,1.0,0.904311929564292
Fam32a,3.362381,0.0623012,0.0007727340519924538,1.0,0.9740058696423388
Hira,3.3460271,0.11278998,0.0008197838981061739,1.0,0.7055503595962203
Timm8b,3.0615716,0.046720393,0.002201783196125705,1.0,0.978520979133744
Eapp,2.876082,0.08111113,0.004026451040707535,1.0,0.7550553100912697
Asxl1,2.8636265,0.107126065,0.004188214477643452,1.0,0.6415325571645112
Naa38,2.8262315,0.07175831,0.004709922255625322,1.0,0.9134711516754281
Ppfibp1,2.8100386,0.04800183,0.00495355761986267,1.0,0.9260489566871997
Cox4i1,2.7879865,0.08968541,0.005303673928657083,1.0,0.751056213113168
Crbn,2.7190452,0.07439091,0.00654706495631434,1.0,0.8490340890766601
Pqbp1,2.7036188,0.06251517,0.006858894472252365,1.0,0.8847679556229239
Casp7,2.701646,0.10657578,0.006899716047869739,1.0,0.5725481342922566
Aldh1l1,2.7003522,0.19861928,0.006926612125431684,1.0,0.3044796336311156
Ndufab1,2.6930358,0.06550783,0.007080463909123647,1.0,0.9261134582513626
Sft2d2,2.684548,0.07368115,0.007262796795186697,1.0,0.7821782178217822
Sbno1,2.6762142,0.09510093,0.007445901173365598,1.0,0.6501112651981811
Asnsd1,2.6639876,0.067584254,0.007722038350677752,1.0,0.8998613216370497
Zfp35,2.6593573,0.112411894,0.007828991250414098,1.0,0.5484568000774018
Zfand3,2.6406963,0.058107473,0.008273585463998359,1.0,0.9745863837198052
Maf,2.6357303,0.16799144,0.008395642758421872,1.0,0.31670268003999097
Slc30a1,2.589222,0.17358887,0.009619309902552265,1.0,0.36611087818879606
Pptc7,2.5725412,0.16881794,0.010095490536237064,1.0,0.36072499758119136
Tmem120a,2.526336,0.13146247,0.0115259164020555,1.0,0.46695907375753865
Brat1,2.5254152,0.16129045,0.011556163435321211,1.0,0.35904795691295516
Nubp1,2.5042741,0.06816049,0.012270290567832338,1.0,0.8157512819685877
Glyr1,2.4949765,0.058358975,0.01259654772107525,1.0,0.8575160447640855
Otud7b,2.4610689,0.12127352,0.01385237430769052,1.0,0.5054020059986455
Uqcr10,2.4284542,0.038956016,0.015163337453817951,1.0,0.9484309994517367
Plekha2,2.4254165,0.17152138,0.015290833159445221,1.0,0.3296352436546586
Son,2.4240603,0.056352608,0.01534805578818986,1.0,0.9203728190408618
Chchd2,2.4063635,0.033311356,0.01611222423703976,1.0,0.9848421324217113
Aip,2.3984275,0.059106432,0.01646563473944372,1.0,0.8997323185087238
Cyth2,2.3899407,0.057119366,0.01685109612192389,1.0,0.8708678685458122
Prdx2,2.386473,0.049177747,0.017010855256698484,1.0,0.9392395265585191
Cadm1,2.3862453,0.0485889,0.017021391875331547,1.0,0.9332408810913665
Ep300,2.3783505,0.06504322,0.01739028923946904,1.0,0.829973876866514
Copg2,2.375625,0.07591921,0.01751926735466211,1.0,0.7002289805527784
Mat2b,2.3623009,0.047205772,0.018161899230394723,1.0,0.8797690844002967
Ttll1,2.3573682,0.11864166,0.018404989256254025,1.0,0.45041442254974684
Ppp5c,2.3433356,0.056487802,0.019112185941130164,1.0,0.9019253716902635
Gimap9,2.3372889,0.09708977,0.019424168509638417,1.0,0.6454026510142871
Cebpz,2.3338623,0.10917754,0.019602930299339964,1.0,0.4526397265133679
Set,2.3286288,0.22452183,0.019878742899599965,1.0,0.23291514819234366
Naa25,2.3234339,0.07641736,0.020155851075227434,1.0,0.639371754765053
Vapb,2.3199952,0.06512761,0.020341135265220793,1.0,0.8548069790692424
Usp21,2.3079786,0.09636716,0.021000330288382822,1.0,0.5123036733640791
Gpr135,2.3040788,0.40230733,0.021218217268327445,1.0,0.14312897087754378
Card10,2.3040779,0.05886275,0.02121827960616702,1.0,0.9084722804528009
Ndufa6,2.299566,0.08475085,0.021472816066259684,1.0,0.6932950624052633
Cbr4,2.2851725,0.11216529,0.022302716593933965,1.0,0.4736994872125649
Acin1,2.2846494,0.052049953,0.0223333978212355,1.0,0.9240816589802303
Rnf111,2.2810895,0.08463094,0.0225431496214139,1.0,0.6316315670655014
Slc25a32,2.274152,0.08289946,0.02295684438905906,1.0,0.6085077563130906
Sh2b1,2.2705045,0.12811776,0.023176988761804126,1.0,0.4381913761408714
Ier5,2.2574637,0.0845392,0.0239791111046342,1.0,0.6297287709226949
Maged1,2.2562299,0.08375592,0.024056244715836665,1.0,0.6702035024349341
