response_id,grna_target,n_nonzero_trt,n_nonzero_cntrl,pass_qc,p_value,fold_change,se_fold_change,log_2_fold_change,significant
Gpi1,Gpi1,36,1477,True,0.0048549463821948,1.4182698207752,0.175304614104354,0.504132026275192,False
Tmed5,Tmed5,20,1091,True,0.0110671940981384,0.614986085915565,0.116633228819058,-0.701374325098406,False
Med20,Med20,38,1562,True,0.0121038894230103,0.74329674947923,0.0881724608089876,-0.427989795925882,False
Noc4l,Noc4l,15,1444,True,0.015730034277036,0.638323751367912,0.136995302645758,-0.647639764901604,False
Supv3l1,Supv3l1,38,887,True,0.0173888173940185,1.38081403827438,0.174816236601948,0.465519037101897,False
Aftph,Aftph,47,1413,True,0.0208877727911488,0.768357042875836,0.0863314417214029,-0.38015123148307,False
Zdhhc7,Zdhhc7,35,898,True,0.024,1.34024069623912,0.170588247847789,0.422492120150913,False
Ccdc57,Ccdc57,11,212,True,0.028,2.04320378697195,0.566558669476747,1.03083310411597,False
Leng8,Leng8,111,1959,True,0.028,1.14763729673312,0.0769897080612046,0.198666759710645,False
Mllt6,Mllt6,61,1702,True,0.036,1.19432641932272,0.100486012756929,0.256197191023671,False
Wdr70,Wdr70,84,1115,True,0.036,1.21487111495481,0.102687395896896,0.28080326718215,False
Lmna,Lmna,155,2267,True,0.04,0.905453232072498,0.036256005594184,-0.143287969006847,False
Farsa,Farsa,38,1744,True,0.048,0.765157796663117,0.100876402213963,-0.386170792849887,False
Tsg101,Tsg101,105,1521,True,0.048,1.14830363793112,0.0792913170414144,0.199504174257659,False
Tti1,Tti1,55,396,True,0.048,0.800665308672637,0.0994468849315473,-0.320728796604645,False
Memo1,Memo1,71,2182,True,0.052,0.888998951286402,0.0556967119480698,-0.169746377716231,False
Gtf2h1,Gtf2h1,265,2055,True,0.056,1.07789345253922,0.0392568085163409,0.108214577821163,False
Wdr55,Wdr55,47,1407,True,0.056,0.803913141157743,0.113343573140674,-0.314888461132842,False
Tbk1,Tbk1,35,1008,True,0.064,1.27546045831984,0.169637552638366,0.35101817336599,False
Lysmd4,Lysmd4,9,433,True,0.068,0.584225959427139,0.191992571841142,-0.775401630755316,False
Mvk,Mvk,26,1407,True,0.068,0.729225067330302,0.118371509891401,-0.455563939583375,False
Zfp426,Zfp426,38,1280,True,0.072,1.24136051465887,0.15797711043192,0.311922162348134,False
Rtca,Rtca,44,1757,True,0.076,0.835496974427709,0.104194549624373,-0.259293491000713,False
Smim7,Smim7,80,1928,True,0.076,0.881829423796313,0.0623979788933404,-0.181428479062286,False
Vasn,Vasn,40,713,True,0.08,1.289931921441,0.184863835993913,0.36729492674063,False
Dcaf17,Dcaf17,16,710,True,0.084,1.49133227469002,0.334571898350957,0.576601731558754,False
Lpp,Lpp,109,2231,True,0.092,0.938794689380278,0.0523809176742621,-0.0911184141110764,False
Mdm4,Mdm4,38,1960,True,0.092,1.20721831695221,0.136699799686339,0.27168660095043,False
Pnkd,Pnkd,18,1218,True,0.092,0.704311943042318,0.162779128410935,-0.505713548122288,False
Rtkn,Rtkn,60,1306,True,0.104,1.185729735733,0.129330972344586,0.245775212792463,False
Traip,Traip,13,211,True,0.108,1.55246207018843,0.407615501173931,0.634558020896954,False
Dpm1,Dpm1,60,1967,True,0.116,0.880436965193538,0.058349240610156,-0.18370837675709,False
Ttc32,Ttc32,25,806,True,0.128,1.30246803763091,0.22040185893504,0.381247969419587,False
Dtwd1,Dtwd1,47,1137,True,0.136,0.834427231073384,0.104569285201402,-0.261141854702884,False
Selenof,Selenof,49,2177,True,0.136,0.885932236683939,0.0750130450364076,-0.17473174095893,False
Blmh,Blmh,31,1498,True,0.144,0.836645157616017,0.113293699164784,-0.257312225867324,False
Hdac1,Hdac1,129,1986,True,0.144,0.919187792469288,0.0596045212601417,-0.121568456891335,False
Eya3,Eya3,51,1246,True,0.152,1.16624668787781,0.128214915778967,0.221872983851702,False
Rassf1,Rassf1,39,1282,True,0.152,0.823498377905608,0.12572073679096,-0.280162286696316,False
Hps5,Hps5,24,596,True,0.156,1.32453455479957,0.235483657240186,0.405485481599338,False
Romo1,Romo1,70,2028,True,0.156,0.904588843796261,0.0556508285639072,-0.144665891421972,False
Dhx30,Dhx30,27,715,True,0.172,1.25306947097603,0.213310984787277,0.325466400816417,False
Sult1a1,Sult1a1,27,971,True,0.172,0.627139177112742,0.127004416652982,-0.673142447954698,False
Zfp280b,Zfp280b,23,652,True,0.172,0.763972799032491,0.152703773161109,-0.388406822332537,False
Naprt,Naprt,14,507,True,0.184,1.36920220324678,0.336481518950852,0.453335518969767,False
Nectin1,Nectin1,23,528,True,0.188,1.26562912458281,0.245815549813795,0.339854704518574,False
Phf3,Phf3,120,2082,True,0.188,0.925978487382616,0.0481858228684194,-0.110949418148,False
Ylpm1,Ylpm1,87,1548,True,0.192,1.10716532487606,0.0876226734843498,0.146870665272319,False
