response_id,grna_target,n_nonzero_trt,n_nonzero_cntrl,pass_qc,p_value,fold_change,se_fold_change,log_2_fold_change,significant,gene,control_detect_frac,control_mean_cpm,passes_expression_filter,expected_ko_direction,direction_matches_expectation
Gpi1,Gpi1,36,1477,True,0.0048549463821948,1.4182698207752,0.175304614104354,0.504132026275192,False,Gpi1,0.6401531263292174,0.7537282051949127,True,negative,False
Tmed5,Tmed5,20,1091,True,0.0110671940981384,0.614986085915565,0.116633228819058,-0.701374325098406,False,Tmed5,0.47469162058698117,0.44510543399749813,True,negative,True
Med20,Med20,38,1562,True,0.0121038894230103,0.74329674947923,0.0881724608089876,-0.427989795925882,False,Med20,0.6775840068056102,0.8395217753760735,True,negative,True
Noc4l,Noc4l,15,1444,True,0.015730034277036,0.638323751367912,0.136995302645758,-0.647639764901604,False,Noc4l,0.6261165461505701,0.7121342834186669,True,negative,True
Supv3l1,Supv3l1,38,887,True,0.0173888173940185,1.38081403827438,0.174816236601948,0.465519037101897,False,Supv3l1,0.38834538494257514,0.32281975974821225,True,negative,False
Aftph,Aftph,47,1413,True,0.0208877727911488,0.768357042875836,0.0863314417214029,-0.38015123148307,False,Aftph,0.6116546150574184,0.6738391873574257,True,negative,True
Zdhhc7,Zdhhc7,35,898,True,0.024,1.34024069623912,0.170588247847789,0.422492120150913,False,Zdhhc7,0.39174819225861085,0.31320325774906005,True,negative,False
Ccdc57,Ccdc57,11,212,True,0.028,2.04320378697195,0.566558669476747,1.03083310411597,False,Ccdc57,0.09485325393449553,0.061100735067556894,True,negative,False
Leng8,Leng8,111,1959,True,0.028,1.14763729673312,0.0769897080612046,0.198666759710645,False,Leng8,0.8468736707783865,1.599958148519371,True,negative,False
Mllt6,Mllt6,61,1702,True,0.036,1.19432641932272,0.100486012756929,0.256197191023671,False,Mllt6,0.7375584857507395,1.0005968141541397,True,negative,False
Wdr70,Wdr70,84,1115,True,0.036,1.21487111495481,0.102687395896896,0.28080326718215,False,Wdr70,0.4849000425350883,0.4288463039462523,True,negative,False
Lmna,Lmna,155,2267,True,0.04,0.905453232072498,0.036256005594184,-0.143287969006847,False,Lmna,0.9808592088472924,8.196975655263786,True,negative,True
Farsa,Farsa,38,1744,True,0.048,0.765157796663117,0.100876402213963,-0.386170792849887,False,Farsa,0.7532964695874046,1.0253842173879424,True,negative,True
Tsg101,Tsg101,105,1521,True,0.048,1.14830363793112,0.0792913170414144,0.199504174257659,False,Tsg101,0.6592939174819182,0.731218285393503,True,negative,False
Tti1,Tti1,55,396,True,0.048,0.800665308672637,0.0994468849315473,-0.320728796604645,False,Tti1,0.1726924712888123,0.12042282001606786,True,negative,True
Memo1,Memo1,71,2182,True,0.052,0.888998951286402,0.0556967119480698,-0.169746377716231,False,Memo1,0.9421522756273862,2.6257893030703103,True,negative,True
Gtf2h1,Gtf2h1,265,2055,True,0.056,1.07789345253922,0.0392568085163409,0.108214577821163,False,Gtf2h1,0.8881327094853194,2.037068928774052,True,negative,False
Wdr55,Wdr55,47,1407,True,0.056,0.803913141157743,0.113343573140674,-0.314888461132842,False,Wdr55,0.610378562313905,0.6605141097568973,True,negative,True
Tbk1,Tbk1,35,1008,True,0.064,1.27546045831984,0.169637552638366,0.35101817336599,False,Tbk1,0.43683538919608395,0.3660487054137643,True,negative,False
Lysmd4,Lysmd4,9,433,True,0.068,0.584225959427139,0.191992571841142,-0.775401630755316,False,Lysmd4,0.19013185878349528,0.13612469858516055,True,negative,True
Mvk,Mvk,26,1407,True,0.068,0.729225067330302,0.118371509891401,-0.455563939583375,False,Mvk,0.6091025095703916,0.7865418718869223,True,negative,True
Zfp426,Zfp426,38,1280,True,0.072,1.24136051465887,0.15797711043192,0.311922162348134,False,Zfp426,0.5555082943428292,0.5659479339951431,True,negative,False
Rtca,Rtca,44,1757,True,0.076,0.835496974427709,0.104194549624373,-0.259293491000713,False,Rtca,0.7592513823904671,1.1094914159303613,True,negative,True
Smim7,Smim7,80,1928,True,0.076,0.881829423796313,0.0623979788933404,-0.181428479062286,False,Smim7,0.8328370905997392,1.414434654525235,True,negative,True
Vasn,Vasn,40,713,True,0.08,1.289931921441,0.184863835993913,0.36729492674063,False,Vasn,0.31093151850276285,0.27297847994826535,True,negative,False
Dcaf17,Dcaf17,16,710,True,0.084,1.49133227469002,0.334571898350957,0.576601731558754,False,Dcaf17,0.3100808166737539,0.23037104234176936,True,negative,False
Lpp,Lpp,109,2231,True,0.092,0.938794689380278,0.0523809176742621,-0.0911184141110764,False,Lpp,0.9634198213526094,4.334489935986365,True,negative,True
Mdm4,Mdm4,38,1960,True,0.092,1.20721831695221,0.136699799686339,0.27168660095043,False,Mdm4,0.846448319863882,1.597801908461226,True,negative,False
Pnkd,Pnkd,18,1218,True,0.092,0.704311943042318,0.162779128410935,-0.505713548122288,False,Pnkd,0.5291365376435525,0.6092480594303803,True,negative,True
